VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WA1F2AFY4L,King,Covington,WA,98042,2020,AUDI,Q5 E,2,2,20,47,186912960,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031709
WDDVP9AB2G,King,Lake Forest Park,WA,98155,2016,MERCEDES-BENZ,B-CLASS,1,1,87,46,3466326,POINT (-122.3175 47.7578146),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021400
WBA13AG08P,King,Mercer Island,WA,98040,2023,BMW,530E,2,2,21,41,236430848,POINT (-122.2377542 47.582905),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302
SADHD2S1XP,King,Kent,WA,98031,2023,JAGUAR,I-PACE,1,3,0,47,249785175,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405
7JRH60FJ6R,Clark,Brush Prairie,WA,98606,2024,VOLVO,S60,2,1,41,18,258852128,POINT (-122.5485715 45.7336587),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040504
KNDC34LB5P,King,Duvall,WA,98019,2023,KIA,EV6,1,3,0,45,258139899,POINT (-121.9810747 47.7377962),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
WVWPR7AU8H,King,Renton,WA,98059,2017,VOLKSWAGEN,E-GOLF,1,1,125,11,304291648,POINT (-122.15734 47.487175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602
WBA5P9C06N,King,Seattle,WA,98112,2022,BMW,330E,2,2,22,43,203690924,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
WA1VAAGE6M,King,Kent,WA,98031,2021,AUDI,E-TRON,1,3,0,47,205531322,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029403
5YJRE1A11B,King,Sammamish,WA,98074,2011,TESLA,ROADSTER,1,1,245,45,134061938,POINT (-122.0313266 47.6285782),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316
WP0AB2Y11P,King,Seattle,WA,98199,2023,PORSCHE,TAYCAN,1,3,0,36,252641378,POINT (-122.394185 47.639195),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
YV4H60CA0P,King,Sammamish,WA,98075,2023,VOLVO,XC90,2,1,32,41,235822016,POINT (-122.03309 47.58153),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213
ZASPATDW3R,King,Bothell,WA,98011,2024,ALFA ROMEO,TONALE,2,1,33,1,252363737,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
KNDCC3LD9M,King,Shoreline,WA,98133,2021,KIA,NIRO,2,2,26,32,156466943,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021000
LYVBR0DK4K,King,Seattle,WA,98107,2019,VOLVO,XC60,2,2,17,43,196483430,POINT (-122.37815 47.66866),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
YV4BR0DM2K,King,Shoreline,WA,98155,2019,VOLVO,XC60,2,2,17,32,202106726,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
KM8K23AG8K,Clark,Camas,WA,98607,2019,HYUNDAI,KONA,1,1,258,18,262015323,POINT (-122.405565 45.59009),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041400
KMHC75LJ3M,Clark,Vancouver,WA,98684,2021,HYUNDAI,IONIQ,1,3,0,17,236389002,POINT (-122.51692 45.6228),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041319
YV4BR0CM5K,King,Seattle,WA,98117,2019,VOLVO,XC90,2,2,17,36,180644264,POINT (-122.37275 47.68968),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900
5YJRE1A18A,King,North Bend,WA,98045,2010,TESLA,ROADSTER,1,1,245,5,115173376,POINT (-121.7814012 47.4935316),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704
WP0CE2A70J,Kitsap,Bainbridge Island,WA,98110,2018,PORSCHE,PANAMERA,2,2,16,23,475013108,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700
KM8K23AG9N,Clark,Vancouver,WA,98684,2022,HYUNDAI,KONA ELECTRIC,1,3,0,17,252185580,POINT (-122.51692 45.6228),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041336
7JRBR0FLXM,King,Seattle,WA,98199,2021,VOLVO,S60,2,2,22,36,176283418,POINT (-122.394185 47.639195),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803
